Cancer	Morbidity	Cohort	Positive	OR	Lower_CI	Upper_CI	pvalue
All	Post-traumatic stress disorders	2782|54634	191|2948	1.0831077985001918	1.0003887195318641	1.1726666647349835	0.04888571
Non-Melanoma Skin	Urticaria	129|54634	11|2573	1.3904104620638522	1.001276293770561	1.9307770143408693	0.04911333
Lung	Asthma	130|54634	34|6057	1.2303282454482989	1.0007462783272063	1.5125787867811227	0.04917295
All	Alcohol dependence	2782|54634	132|2814	0.9143868021042508	0.8362957705026068	0.9997697625087202	0.04940778
Haematopoietic	Peripheral arterial disease	515|54634	13|323	1.4479662707336622	0.999867008844108	2.0968851883673225	0.05007775
Bladder	Depression	163|54634	38|7686	1.2276527342086194	0.9997665872449968	1.5074831015937633	0.05025768
Non-Melanoma Skin	Asthma	129|54634	28|6057	1.2754665075957794	0.9996056777654562	1.6274565543036905	0.05036837
Prostate	Diabetic neuropathy	196|24315	1|164	0.6427014310405602	0.41276363590931703	1.0007304266317034	0.05037417
Kidney	Constipation	182|54634	43|7662	1.215036357241058	0.9995436001820973	1.4769874462191193	0.05053407
All	Retinal detachments	2782|54634	30|181	1.2607679255028323	0.999420008260272	1.590458214603568	0.05057108
Digestive	Urticaria	534|54634	38|2573	1.214288125324088	0.9994926927238732	1.4752440533454136	0.05059647
Endocrine	Subarachnoid haemorrhage	164|54634	1|46	17.044030071818153	0.9871216449301022	294.28891827168036	0.0510469
Male genital	Diabetic neuropathy	222|24315	1|164	0.6428454122864108	0.41202589486236835	1.0029714861385741	0.05154376
Solid	Sleep apnoea	2312|54634	54|621	1.1746003945408272	0.9988589954412804	1.381262113223442	0.05163221
All	Barretts oesophagus	2782|54634	13|57	1.4630627318033211	0.9970369186167638	2.1469140382098244	0.05179482
Urinary	Peptic ulcer	212|54634	19|1199	1.341440450951456	0.9975615777931591	1.8038610583114878	0.05191355
Colorectal	Hearing loss	241|54634	28|2216	1.2664098404922122	0.9979031614438852	1.6071638472163472	0.0520488
Ovarian	Epilepsy	117|30319	3|245	2.617236525862884	0.9914112161639073	6.909269252384914	0.05206658
Thyroid	Hypertrophic cardiomyopathy	121|54634	1|74	15.443064455496847	0.9672104261641942	246.5732722944658	0.05281728
Lung	Hyperprolactinaemia and prolactinoma	130|54634	1|192	15.124410077261533	0.9621474169343426	237.74712290349586	0.05329261
Solid	Alcohol dependence	2312|54634	109|2814	0.9124602099595681	0.8314965512354743	1.0013073818795395	0.05330516
Secondary	Chronic sinusitis	479|54634	78|6315	1.1413000415690944	0.9977494243515901	1.3055039202173617	0.05396219
Urinary	Urticaria	212|54634	15|2573	1.387807272808117	0.9941735599222841	1.937296568830157	0.05414644
Breast	Cholelithiasis	428|30319	41|1256	1.2020999671489256	0.9965881137570575	1.449991537197596	0.05432075
Digestive	Thalassaemia	534|54634	6|263	1.7940865381230573	0.9890728597021293	3.2543067729547634	0.05437506
Male genital	Diabetic eye	222|24315	36|1891	0.8462427686178677	0.713882134500338	1.0031443411022847	0.05437739
Skin	Gastritis and duodenitis	159|54634	37|6346	1.233090968938951	0.9959256428076854	1.5267337965033347	0.05453866
Haematopoietic	Ischemic stroke	515|54634	14|350	1.4134633934368666	0.9930419203172314	2.011877569023302	0.0547027
Solid	Schizophrenia and psychosis	2312|54634	41|616	1.1996933710294815	0.995983260764614	1.4450686484300568	0.05516068
Thyroid	Pulmonary hypertension	121|54634	1|60	13.821426044117315	0.943206158888774	202.5345319183094	0.05519838
Solid	Aplastic anaemias	2312|54634	7|45	1.7209991098484287	0.9877247234953449	2.998647159117146	0.0553139
Male genital	Subarachnoid haemorrhage	222|24315	2|24	3.6605009147423715	0.9706717901827377	13.804116986141326	0.0553589
Urinary	Non-rheumatic valvular heart disease	212|54634	10|456	1.5248621308919243	0.9902151462693161	2.3481811270899877	0.05544631
Haematopoietic	Urinary Incontinence	515|54634	33|1844	1.2330354810938347	0.994778599150411	1.5283566604013996	0.05584942
Endocrine	Hip fracture	164|54634	1|55	9.380096023381402	0.9451299950968371	93.09428529864896	0.05590165
Prostate	Unspecified or rare diabetes	196|24315	68|4166	0.8646893236286318	0.7448480031764217	1.0038123525992007	0.05613214
Thyroid	Chronic kidney disease	121|54634	1|68	13.248310038054607	0.9344708927281702	187.8257741683081	0.05614651
Thyroid	Portal hypertension	121|54634	1|68	13.248310038054607	0.9344708927281702	187.8257741683081	0.05614651
Gynaecological	Urticaria	361|30319	14|1812	0.8109612552924375	0.6540519084212039	1.0055137048265588	0.05614903
Solid	Crohns disease	2312|54634	17|253	1.3512904165307333	0.9919515635062317	1.840801362672918	0.05629235
Secondary	Psoriatic arthropathy	479|54634	3|78	2.562253129202159	0.9743421438203345	6.738024358019401	0.05648069
Haematopoietic	Congenital cardiac disease	515|54634	6|245	1.7795828804197702	0.9839425182980069	3.218597803620843	0.05659102
Non-Melanoma Skin	Scoliosis	129|54634	2|161	3.5599624604823012	0.962532545389663	13.166653720693304	0.05706951
Urinary	Non-malignant CNS tumour	212|54634	2|89	3.565342064376401	0.9623144987174392	13.209469516414567	0.05710473
Solid	Female infertility	1350|30319	86|1616	1.127251084055365	0.9962609875800111	1.2754639821745946	0.05735906
Skin	Cervical dysplasia	72|30319	2|196	3.5364379791966423	0.960066851467003	13.026586181570993	0.05759823
Skin	Polycystic ovarian syndrome	72|30319	2|196	3.5364379791966423	0.960066851467003	13.026586181570993	0.05759823
Lung	Interstitial pulmonary diseases with fibrosis	130|54634	3|66	2.5667794993217763	0.9693334971476144	6.7967908026758765	0.0577873
Digestive	Folate deficiency	534|54634	29|1450	1.2438868082196497	0.9927147867602668	1.5586091919838787	0.05790013
Secondary	Urinary calculus	479|54634	29|1373	1.2436094523877415	0.9925615234294246	1.558154767801762	0.05807946
Ovarian	Gout	117|30319	3|130	2.524169253304892	0.9652860468124871	6.600562020314239	0.05903157
Endocrine	Tuberculosis	164|54634	8|1380	1.5961683884343387	0.9815205187326814	2.595721103748988	0.05945492
Lymphoma	Urticaria	193|54634	13|2573	1.4133531475918224	0.9862552930424533	2.025405728009337	0.05948352
Solid	Diabetic neuropathy	2312|54634	45|293	1.1918467560287513	0.9929580475666375	1.4305727148668168	0.05954629
Haematopoietic	Subarachnoid haemorrhage	515|54634	3|46	2.5978105652973436	0.9619995270005226	7.015200677086029	0.05962426
Solid	Peripheral venous and lymphatic disease	2312|54634	130|1570	1.1024965510117972	0.9959574332615767	1.2204323241128638	0.05985254
Haematopoietic	Seborrheic dermatitis	515|54634	33|2622	1.2213551243814662	0.9915567263512678	1.5044104892939993	0.06007154
Gynaecological	Gastro-oesophageal reflux disease	361|30319	71|3760	1.1501300236185097	0.9940762589527257	1.3306816849466887	0.0600883
All	Sleep apnoea	2782|54634	62|621	1.1549464739506252	0.993696868602661	1.3423624445619093	0.06043758
Ovarian	Liver failure and transplant	117|30319	1|31	8.78582827444442	0.9080625637011127	85.00601341102548	0.06055677
All	Learning disability	2782|54634	14|264	1.3892082770341512	0.9852036380899823	1.958883993487578	0.06079663
Ovarian	Psoriatic arthropathy	117|30319	1|38	8.739124386171	0.9061434972456173	84.28278221839665	0.06082483
Secondary	Somatoform and dissociative disorders	479|54634	39|2700	1.2006811250788771	0.9915946164408186	1.4538553761971942	0.06099528
Solid	Respiratory failure	2312|54634	25|169	1.2762090451606718	0.9886900043716842	1.6473409458457753	0.06111571
Breast	Chronic sinusitis	428|30319	72|3635	1.143166450277664	0.9936450387257296	1.315187498662842	0.06136473
Digestive	Adrenal insufficiency	534|54634	2|31	3.469984058999692	0.9414390783392762	12.789770094260644	0.06157575
Ovarian	Hypopituitarism	117|30319	1|35	8.60273348629214	0.8978951293145913	82.4227919497296	0.06195965
Male genital	Non-rheumatic valvular heart disease	222|24315	14|236	1.3983626269740994	0.9827928829175189	1.9896542501539602	0.06238706
Endocrine	Gout	164|54634	4|571	2.090925937158053	0.9625221115934223	4.542203469427456	0.06239233
All	Rheumatic valve disorder	2782|54634	13|79	1.4270123600215923	0.9816251936619671	2.074482489653416	0.0624844
Urinary	Parkinsons disease	212|54634	2|34	3.4354227863252733	0.9367580947805625	12.598908711397447	0.06267992
Respiratory	Dysmenorrhoea	47|30319	5|1786	1.8859581610416367	0.9652401775094058	3.6849255429640384	0.06338567
Cervical	Congenital cardiac disease	137|30319	2|132	3.381704931761463	0.9342537469260197	12.240708997023024	0.06340012
Non-Melanoma Skin	Oesophagitis and oesophageal ulcer	129|54634	14|2028	1.390794268314208	0.981641881432105	1.9704830583977477	0.06348686
Kidney	Osteoporosis	182|54634	6|323	1.7448594360447753	0.967631641275622	3.1463775280652286	0.06422508
Gynaecological	Urinary Incontinence	361|30319	36|1586	1.2093064337239785	0.9888179886888163	1.4789597958117602	0.06423913
Prostate	Glaucoma	196|24315	14|251	1.3921105822103401	0.9804048503725455	1.9767057174039888	0.06440432
Kidney	Fatty liver disease	182|54634	17|2125	1.3357834851933945	0.9827790452911446	1.8155836023007736	0.0644491
Ovarian	Depression	117|30319	33|5163	1.2374489969184383	0.9872014865574961	1.551132206368761	0.0645657
Endocrine	Spinal stenosis	164|54634	3|306	2.4405294415274543	0.945537585207485	6.299256685449797	0.06514768
Lung	Ischemic stroke	130|54634	9|350	1.5410284219452766	0.9729859857835615	2.440701748988408	0.0652897
Haematopoietic	End stage renal disease	515|54634	5|130	1.874408231986537	0.9609755428726009	3.6560828693271716	0.06529692
Uterine	Migraine	102|30319	5|3246	0.7398165713976785	0.5367869308637758	1.0196383850737152	0.0655965
Haematopoietic	Cardiac conduction defects	515|54634	16|366	1.3601146531753514	0.9802986586705995	1.887090075478635	0.06563595
Gynaecological	Dementia	361|30319	4|54	2.082141642876552	0.9533018203115049	4.547682306516569	0.06576582
All	Erectile dysfunction	1209|24315	267|2909	1.076629470019332	0.9950497132562988	1.1648975928256422	0.06627469
All	Male infertility	1209|24315	267|2909	1.076629470019332	0.9950497132562988	1.1648975928256422	0.06627469
Male genital	Dementia	222|24315	1|75	0.6334007251658854	0.3889143887185413	1.0315804461814777	0.06649757
Haematopoietic	Sjogrens disease	515|54634	3|77	2.441186032254719	0.9410361157053939	6.33279546301836	0.0664994
Colorectal	Rosacea	241|54634	6|477	1.7285086764357376	0.9628781180918341	3.1029288010350973	0.06676163
Digestive	Atrial fibrillation and flutter	534|54634	19|316	1.310533098692547	0.9800903477355628	1.752386406760212	0.06810184
Male genital	Spondylosis	222|24315	27|698	1.2512649504656408	0.983063266770642	1.592638062255119	0.06857463
Bladder	Peripheral venous and lymphatic disease	163|54634	3|1570	0.715513365654554	0.4986906277347405	1.0266071747845738	0.06915151
Ovarian	Gastrointestinal polyp	117|30319	7|504	1.6376871957357018	0.9616206123103818	2.789061836593611	0.06938099
Secondary	Diabetic eye	479|54634	95|3243	1.1258699210522334	0.9905865188459504	1.2796288411101304	0.06949413
Breast	Bone and joint infections	428|30319	4|73	2.038530081801441	0.9440161924166572	4.402048320560208	0.06978239
Non-Melanoma Skin	Chronic ulcer of skin	129|54634	5|506	1.8365797310319132	0.9512831514558447	3.5457635334707374	0.07011021
Prostate	Visual impairment	196|24315	4|349	0.7273423532370215	0.5149181927321687	1.0273998982349763	0.07082373
Lymphoma	Dysmenorrhoea	72|30319	7|1786	1.6279377015712053	0.9592892819527707	2.7626506519515313	0.07092336
Ovarian	Hyperprolactinaemia and prolactinoma	117|30319	2|173	3.2113454736737537	0.9037675921251251	11.410831546897425	0.07129704
Lymphoma	Anxiety and phobia	193|54634	25|5138	1.2541411554116675	0.9804663432931587	1.6042060479245082	0.07139696
Non-Melanoma Skin	Gastritis and duodenitis	129|54634	33|6346	1.2324918323300356	0.9817005068358012	1.5473518717601331	0.07172234
Secondary	Urticaria	479|54634	36|2573	1.200101336125768	0.9837542490718796	1.464027442147922	0.07209775
Non-Melanoma Skin	Schizophrenia and psychosis	129|54634	4|616	2.010362391301917	0.9385332074912919	4.306248209548473	0.0723711
Prostate	Hypertension	196|24315	129|4760	1.1540482750385739	0.9867534619584345	1.34970635773215	0.07295535
Endocrine	Spondylosis	164|54634	10|1570	1.4745192434222458	0.9641940383800656	2.2549475651969177	0.07317081
Lymphoma	Diverticular disease	193|54634	7|409	1.621513544826742	0.9554007433265929	2.752045353138047	0.07330149
Haematopoietic	Subdural haematoma	515|54634	3|48	2.4115603834453876	0.9198576032450837	6.322308433921559	0.07343449
Urinary	Unspecified or rare diabetes	212|54634	78|7919	1.1542190868230398	0.9864757930859559	1.3504859518337213	0.07344622
Respiratory	Gastro-oesophageal reflux disease	149|54634	43|6440	1.197186235875025	0.9827524713050418	1.4584088315395702	0.07389895
Solid	Heart failure	2312|54634	98|662	1.1188999330544938	0.9890607297869587	1.2657838113328133	0.07422782
Endocrine	Diabetic eye	164|54634	17|3243	1.3385085878726353	0.9718087238978003	1.8435780578537075	0.07427322
Solid	Tuberculosis	2312|54634	95|1380	1.1140065263824446	0.9894589424789793	1.2542314668595207	0.07429087
Secondary	Interstitial pulmonary diseases with fibrosis	479|54634	5|66	1.830402704961002	0.9416168388173276	3.5581076338191107	0.07464933
Kidney	Seborrheic dermatitis	182|54634	13|2622	1.3810043164228445	0.9681346307724308	1.9699459779234232	0.07486283
Skin	Oesophagitis and oesophageal ulcer	159|54634	15|2028	1.350459628418097	0.9702465737943605	1.879667764097334	0.0749204
Male genital	Obstructive and reflux uropathy	222|24315	7|240	1.6147190844047687	0.9527802019183227	2.736536418673913	0.07503016
Respiratory	Interstitial pulmonary diseases with fibrosis	149|54634	3|66	2.3592411011161616	0.9157438803591804	6.078138978130709	0.07545239
Lymphoma	Tinnitus	193|54634	9|1052	1.498428661447939	0.9590347587205478	2.341196117275364	0.07568586
Uterine	Diverticular disease	102|30319	5|180	1.8137998330735807	0.940049448795586	3.4996774251320604	0.07579272
Solid	Dysmenorrhoea	1350|30319	88|1786	1.1158428068933046	0.988448686687084	1.259655849074637	0.07636982
Male genital	Nasal polyp	222|24315	1|312	0.6534214186822785	0.40803056221242445	1.046391103837174	0.07652001
Digestive	Macular degeneration	534|54634	10|110	1.4687827550906858	0.9596582571810481	2.248011482742639	0.07666578
Non-Melanoma Skin	Bone and joint infections	129|54634	2|173	3.1062928328027346	0.8853592005429525	10.898463761605786	0.07674904
Thyroid	Gout	121|54634	3|571	2.3181257666928063	0.9134566857473037	5.882826360626891	0.07681214
Endocrine	Constipation	164|54634	35|7662	1.2094830053527175	0.9793197901444632	1.4937399968413292	0.07740176
Colorectal	Vitamin B12 deficiency	241|54634	23|1908	1.2623486578354801	0.9745252983820133	1.6351798527803612	0.07763954
Urinary	Menorrhagia and polymenorrhoea	67|30319	15|3718	1.3612794097631675	0.9663605444345086	1.917588256388859	0.07768758
Skin	Irritable bowel syndrome	159|54634	10|1690	1.4540241669729674	0.9592792286537751	2.2039320929615247	0.07771835
Solid	Chronic sinusitis	2312|54634	324|6315	1.0591932145740517	0.9935794762145566	1.1291399356134135	0.07797168
Urinary	Pulmonary hypertension	212|54634	2|60	3.115594547506443	0.8803833864187379	11.025798003683546	0.07799803
Secondary	Unspecified or rare diabetes	479|54634	176|7919	1.0986077540270398	0.9895004768792667	1.2197457458684995	0.07803249
Lung	Tinnitus	130|54634	11|1052	1.4311738762408748	0.960342814334079	2.1328411411654433	0.07820402
Ovarian	Urticaria	117|30319	3|1812	0.7178231855072699	0.49610752077184	1.0386259108714	0.07858971
Thyroid	Rheumatic valve disorder	121|54634	1|79	6.995450435720522	0.7999346837178982	61.17540318564327	0.07870657
Uterine	Aplastic anaemias	102|30319	1|29	7.004340301643877	0.7982243345894761	61.462399647919064	0.07898122
Colorectal	Parkinsons disease	241|54634	2|34	3.084038686860509	0.8763361576904316	10.8534773312551	0.07936758
Cervical	Peptic ulcer	137|30319	4|448	1.9690141775264314	0.9231840686858304	4.199614099514405	0.07957087
Skin	Liver fibrosis, sclerosis and cirrhosis	159|54634	2|131	3.0458499745700753	0.8742840466144763	10.611199075990228	0.08028678
Non-Melanoma Skin	Non-rheumatic valvular heart disease	129|54634	6|456	1.676147491036981	0.9393967547442599	2.990717604165465	0.08039964
Prostate	Tuberculosis	196|24315	5|701	0.7501335662307159	0.543440094612418	1.0354413904394195	0.08042538
Lymphoma	Female genital prolapse	72|30319	6|884	1.6795753607377846	0.9382142354989527	3.0067475909670405	0.08092589
Prostate	Non-rheumatic valvular heart disease	196|24315	13|236	1.3796916056108521	0.9611293112606034	1.9805336329784637	0.08097673
Skin	Folate deficiency	159|54634	9|1450	1.4834241049706849	0.9523295291687435	2.31069919372222	0.08116048
Colorectal	Psychoactive substance misuse	241|54634	28|2298	1.2339408613708711	0.9742144743908918	1.5629105185618073	0.08127324
Cervical	Diverticular disease	137|30319	2|180	3.027690143733217	0.870029256272054	10.53632109538259	0.08165403
Prostate	Chronic viral hepatitis	196|24315	6|321	1.6690072690454136	0.9365232227701988	2.9743899525382598	0.0822909
Bladder	Other haemolytic anaemias	163|54634	2|192	3.0115954856335647	0.8682467244097223	10.446002402432915	0.0823237
Solid	Sarcoidosis	2312|54634	3|98	0.7105144456385094	0.48319203323876897	1.0447829076923885	0.0823337
Breast	Rheumatic valve disorder	428|30319	3|47	2.2726010215299035	0.9000858241838894	5.738025490782086	0.08234471
Lung	Spinal stenosis	130|54634	6|306	1.6694646396940493	0.9358035752775395	2.9783089708352346	0.08268116
Non-Melanoma Skin	Gastrointestinal polyp	129|54634	10|1066	1.4499107459200093	0.9522536124847574	2.2076484074960314	0.08328822
